出現形,[細分類],[大分類],[ICDコード],[標準病名],[MedDRA],[抗がん剤有害事象],<間質性肺炎>,<末梢神経障害>,<手足症候群>,<嘔気>,<嘔吐>,<口内炎>,<空咳>
Ｇ１涙,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
怪我,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
食欲不振味覚編,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
赤み掻痒感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
うろうろ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
水虫,-1,-1,B353,足白癬,[TBA],[TBA],0,0,0,0,0,0,0
覚障害,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
苦痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
顔面打,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
食事水分低下,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
倦怠感食欲不振,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
熱下,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
黒積み,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
関節全部痛い,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
痒,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
吐気抑制,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
食欲増進作用,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
しこり,-1,-1,R229,腫瘤,[TBA],[TBA],0,0,0,0,0,0,0
恐怖感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
夜中痒み,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
幻覚様症状,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
眉毛、睫毛抜け,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ふらつきめまい,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
関節ピリピリ感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
しびれ違和感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
軽度口腔乾,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
背部つっぱり感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
頭部発赤,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
好便秘,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
赤変,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
甲色素沈着,色素沈着,皮膚毒性,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ふらふら,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
合間頭痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
消化器障害,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
左上縦隔腫瘍,-1,-1,D383,縦隔腫瘍,[TBA],[TBA],0,0,0,0,0,0,0
脱毛部位,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ぴりつき,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ＰＴＸ過敏反応,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
Ｇ１Ｚｎ低値,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
治癒遅延,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
浮遊感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
真菌多糖類,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ＤＴＸ浮腫,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
圧迫継続,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ＨＥＲ２阻害,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
剥離部,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ご本人便秘,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
胸部ピリピリ感,-1,-1,R202,ピリピリ感,[TBA],[TBA],0,0,0,0,0,0,0
Ｂｅｖ関連副作用,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
締め付け,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ジーラスタ痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
腹痛酷くさしこみ痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
保湿剤さぼり気味,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
指やけど,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ゴロゴロ感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
Ｇ２ＡＤＬ低下軽度,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ブツブツ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
右乳房自壊部,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
Ｂ肝陽性,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
くらくら,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
爪浮,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
浮き,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
れ痔,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
排便症状,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
中性脂肪上昇,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
皮膚症状悪化,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
強ばり,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
可逆性心機能障害,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
もやもや,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
気分低下,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
水分摂取ＯＫ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
アベロックスアレルギー,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
イライラ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
冷たさ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
血豆,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
皮膚状況,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
水分摂取,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
爪３カ所内出血,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
落胆表情,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
くらいむくみ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
白血病レベル,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
粘膜刺激,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
便通,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
めばちこ,-1,-1,H000,麦粒腫,[TBA],[TBA],0,0,0,0,0,0,0
化学閉経,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
だらだら,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ロラゼパム眠気,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
凹み,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
血球低,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
免疫抑制期,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
毎日排便,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ぱんぱん,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
Ｂｅｖ関連ＡＥ高血圧,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
くらくら感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
排便時硬縮便,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
膀胱炎体質,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
吐き気対策強化,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
睡眠状況,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
眠り,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
渇き,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
摂取量減少,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
むずむず,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
抗がん剤影響,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
潔癖症,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
しわ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
粘膜炎気,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ムカムカ感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
あかぎれ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
体調不良持続,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
気分不良持続,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
眠さ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
吐き気誘発,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
注射部位,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
リバウンド症状,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
白苔様症状,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
味覚障,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
浮腫症状気,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ぼーっと感,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
むかむか,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
嚥下困難感？,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
便痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
左乳がん疑い,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ＨＥＲ２－ＦＩＳＨ増幅,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
ささくれ,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
中性脂肪↑,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
下痛,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
左足症状,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
張り,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
胸壁再発,-1,-1,[AMB],[AMB],[TBA],[TBA],0,0,0,0,0,0,0
１型糖尿病,-1,-1,E10,１型糖尿病,１型糖尿病,１型糖尿病,0,0,0,0,0,0,0
ＤＭ（２型,-1,-1,E11,２型糖尿病,[AMB],２型糖尿病,0,0,0,0,0,0,0
ＤＭ　２型糖尿病,-1,-1,E11,２型糖尿病,２型糖尿病,２型糖尿病,0,0,0,0,0,0,0
２型糖尿病,-1,-1,E11,２型糖尿病,２型糖尿病,２型糖尿病,0,0,0,0,0,0,0
糖尿病（２型,-1,-1,E11,２型糖尿病,２型糖尿病,２型糖尿病,0,0,0,0,0,0,0
糖尿病（２型）,-1,-1,E11,２型糖尿病,２型糖尿病,２型糖尿病,0,0,0,0,0,0,0
Ｂ型肝炎,-1,-1,B169,Ｂ型肝炎,Ｂ型肝炎,[NOADE],0,0,0,0,0,0,0
ＨＢＶ既感染,-1,-1,Z225,ＨＢＶキャリア,Ｂ型肝炎,[NOADE],0,0,0,0,0,0,0
ＨＢＶ感染症,-1,-1,B169,Ｂ型肝炎ウイルス感染,Ｂ型肝炎,[NOADE],0,0,0,0,0,0,0
ＨＢｃ－Ａｂ陽性,-1,-1,[AMB],[AMB],[TBA],[NOADE],0,0,0,0,0,0,0
Ｂ肝抗体陽性,-1,-1,[AMB],[AMB],Ｂ型肝炎抗体陽性,[NOADE],0,0,0,0,0,0,0
ＨＢｓ抗体陽性,-1,-1,[AMB],[AMB],Ｂ型肝炎抗体陽性,[NOADE],0,0,0,0,0,0,0
ＣＲＰ上昇,-1,-1,[AMB],[AMB],Ｃ−反応性蛋白増加,Ｃ−反応性蛋白増加,0,0,0,0,0,0,0
ＨＩＶ感染症,-1,-1,B24,ＨＩＶ感染症,ＨＩＶ感染,[NOADE],0,0,0,0,0,0,0
皮膚、爪症状,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
皮疹痒,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
行動＞倦怠感,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下痢／嘔吐,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下痢　腹痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下痢（血便,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
発赤／浮腫,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
皮膚硬化・浮腫,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
違和感（疼痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
腫脹／疼痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
モーラス　疼痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
モーラステープ　疼痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
疼痛腫脹関節　疼痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
嘔気／嘔吐,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
嘔吐　腹痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
代謝性アシドーシス（嘔吐,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
食欲低下・しびれ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
呼吸苦・頭痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
間質性肺炎➡ニューモシスチス肺炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
間質性肺炎（リウマチ肺,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺気腫＋間質性肺炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
頭痛　鼻出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
頭痛→左足しびれ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
行動＞頭痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
意識清明．頭痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
皮疹＆呼吸苦,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
動悸・息苦しさ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
アレルギー　花粉症,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
喘息・アレルギー,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下痢便秘,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
胃部不快感／めまい,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
造影剤アレルギー（皮疹,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
発赤・熱感,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
熱感／発赤,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不安・焦燥感,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不安・焦燥,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不安＜状態像＞抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不安・抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不安＜状態像＞　抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不眠時／不安,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
湿疹＋アテローマ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／糖尿病,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
食欲低下・抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
咳・痰,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
咳，痰,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／２型糖尿病,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
脳梗塞／高血圧,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／脂質異常症,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
心不全／高血圧,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不眠＜状態像＞抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／脳出血／腎不全,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／脳出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不眠・パニック発作,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不眠＜状態像＞幻覚妄想状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
不眠　＜状態像＞抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
高血圧／高脂血症,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
虚血性心疾患既往／高血圧,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
食道癌時期不明　高血圧,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
抑うつ気分　不眠,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
眼瞼結膜　貧血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
黄疸／貧血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
消化管出血／貧血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下腹痛／腰痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
脊麻　出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
子宮内膜」出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
十二指腸潰瘍　出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
全硬麻　出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
動脈瘤→出血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
出血＋胆汁瘻,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
出血／血腫,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
胃癌＋乳癌,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
悪心嘔吐,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
便秘下痢,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
乳癌（死亡,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
乳癌→縱隔腫瘍,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
大腸癌＋肝転移＋肺転移＋骨転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
喘息＋肺炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
乳癌＋子宮癌,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
痔核　内痔核,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
糖尿病＋喘息,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
蛋白尿・血尿,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
多発肺転移（＋糖尿病,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
腹膜播種（リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
腹膜播種　リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
神経障害　　異常感覚,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
頻尿＋　残尿感,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
頻尿・尿失禁,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
喘息　真珠腫性中耳炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
喘息・アレルギー性鼻炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
蛋白尿・尿潜血,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
食欲普通　睡眠障害,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
食欲良好　睡眠障害,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
睡眠障害＜状態像＞抑うつ状態,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
蛋白尿（ネフローゼ症候群,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
両側鼓膜欠損→難聴,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
帯状疱疹＋汎発疹,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
椎間板ヘルニア　帯状疱疹,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
右肺門・縦隔リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺門・縦隔リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
気管支炎／肺炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
帯状疱疹　右顔面神経麻痺,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺門～縦隔リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
胃癌（死亡,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺炎／胸膜炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肝障害＋耐糖能異常,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
ｓｔａｇｅⅣ（リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
遠隔転移＆リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
胃癌（２重癌,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
ＤＭ・ＨＴ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
ＤＭ，ＨＴ,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
造影剤アレルギー（蕁麻疹,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺癌＋リンパ節転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺転移＋胸膜播種,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
冠動脈性心疾患　胸痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
陳旧性心筋梗塞；胸痛,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
脂質異常■，糖尿病,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
糖尿病（腎症,-1,-1,E112,２型糖尿病・腎合併症あり,[MULTI],[MULTI],0,0,0,0,0,0,0
多発肺転移；縮小Ｓ状結腸癌,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
尿・便失禁,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
上気道症状（＋）副鼻腔炎,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
徐脈／頻脈,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
肺・肝転移,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
タンパク尿・血尿,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
遊走腎（血尿,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
腫脹・熱感,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
下血＋粘液便,-1,-1,[AMB],[AMB],[MULTI],[MULTI],0,0,0,0,0,0,0
